Experimento ;Bloque ;Cama;Tratamiento;Fecha_corte;Individuo;Tallos;D_tallo;Flores;D_flor;L_ped;Peso;L_corte;Puntos;L_tallo
1;5;34;Solarizada;2016-09-07;1;10;5;1;6.5;23;280;70;3;77
1;5;34;Solarizada;2016-09-07;2;10;4;1;5.5;33;300;70;2;78
1;5;34;Solarizada;2016-09-09;1;10;6;1;7.5;24;305;70;3;81
1;5;34;Solarizada;2016-09-09;2;10;5;2;8;15;310;70;3;77.5
1;5;34;Solarizada;2016-09-09;3;10;4;1;7;17;280;65;2;77
1;5;34;Solarizada;2016-09-09;4;10;4;1;6.5;26;270;70;2;79
1;5;34;Solarizada;2016-09-09;5;10;5;2;8;19;370;65;3;78.5
1;5;34;Solarizada;2016-09-11;1;10;3;1;7;21;285;65;2;77.5
1;5;34;Solarizada;2016-09-11;2;10;4;3;7.5;17;240;69;2;78
1;5;34;Solarizada;2016-09-11;3;10;4;1;6.5;15;245;66;2;75.5
1;5;34;Solarizada;2016-09-11;4;10;4;1;8;17;240;70;3;75
1;5;34;Solarizada;2016-09-11;5;10;4;2;7;15.5;220;67;2;69.5
1;5;34;Solarizada;2016-09-13;1;10;4;1;5.5;22;245;70;4;73.5
1;5;34;Solarizada;2016-09-13;2;12;3;1;6.5;23;240;71;2;80
1;5;34;Solarizada;2016-09-13;3;12;4;1;6.5;24;255;68;3;74
1;5;35;Basamid;2016-09-07;1;10;4;2;6.5;28;220;72;3;83
1;5;35;Basamid;2016-09-07;2;10;5;1;6.5;29;230;75;3;89.5
1;5;35;Basamid;2016-09-07;3;10;6;1;7;23;280;69;3;86.5
1;5;35;Basamid;2016-09-07;4;10;4;1;6.5;23;300;69;4;89
1;5;35;Basamid;2016-09-07;5;10;5;1;6;28;310;61;3;85.75
1;5;35;Basamid;2016-09-09;1;10;6;1;8;23;330;69;3;82
1;5;35;Basamid;2016-09-09;2;10;5;2;6.9;24;360;71;3;88.5
1;5;35;Basamid;2016-09-09;3;10;4;1;7.2;20;430;75;3;86
1;5;35;Basamid;2016-09-09;4;10;4;1;5.9;18;350;72;2;87
1;5;35;Basamid;2016-09-09;5;10;5;1;7;19;280;75;3;78
1;5;35;Basamid;2016-09-11;1;10;5;1;7;18;220;73;3;85.5
1;5;35;Basamid;2016-09-11;2;10;4;1;7.5;22;225;70;4;84.5
1;5;35;Basamid;2016-09-11;3;10;3;1;8;14;250;69;3;84.5
1;5;35;Basamid;2016-09-11;4;10;4;1;8;17;235;63;2;84
1;5;35;Basamid;2016-09-11;5;10;4;2;7;13;230;61;2;94
1;5;36;Hongos;2016-09-09;1;10;4;2;5.8;25;330;75;3;83
1;5;36;Hongos;2016-09-09;2;10;6;1;6.2;28;360;70;3;81
1;5;36;Hongos;2016-09-09;3;10;6;1;5.3;19;430;71;2;81
1;5;36;Hongos;2016-09-09;4;10;5;1;6.4;31;350;75;3;87
1;5;36;Hongos;2016-09-09;5;10;6;1;7.2;22;280;72;3;84.5
1;5;36;Hongos;2016-09-11;1;10;3;1;7;16.5;240;70;4;88
1;5;36;Hongos;2016-09-11;2;10;3;1;8;21;300;69;3;82
1;5;36;Hongos;2016-09-11;3;10;4;1;7.5;22;250;72;3;87.5
1;5;36;Hongos;2016-09-11;4;10;4;1;8;19;200;73;2;81.5
1;5;36;Hongos;2016-09-11;5;10;5;2;7;20;245;70;3;88.5
1;5;36;Hongos;2016-09-13;1;10;4;2;5.5;19;255;70;3;88.5
1;5;36;Hongos;2016-09-13;2;12;4;1;6;21;265;71;2;81.5
1;5;36;Hongos;2016-09-13;3;11;4;1;6.5;22;260;69;2;84.5
1;5;36;Hongos;2016-09-13;4;12;3;1;6;23;280;75;2;89
1;5;36;Hongos;2016-09-13;5;12;4;1;6;21;270;68;2;79
1;5;37;Nada;2016-09-07;1;10;5;2;5.5;14;280;70;2;77.5
1;5;37;Nada;2016-09-07;2;10;4;1;6.5;18;220;73;3;68
1;5;37;Nada;2016-09-07;3;10;4;1;6.5;21;250;72;3;80
1;5;37;Nada;2016-09-07;4;10;5;1;6.5;23;230;75;3;80
1;5;37;Nada;2016-09-07;5;10;3;1;6.5;23;221;70;2;76
1;5;37;Nada;2016-09-09;1;10;7;2;6.8;25;280;80;2;86.5
1;5;37;Nada;2016-09-09;2;10;6;2;7.2;22;290;75;3;92
1;5;37;Nada;2016-09-09;3;10;5;1;5.9;30;240;70;3;79
1;5;37;Nada;2016-09-09;4;10;5;1;6.2;28;270;80;3;85.5
1;5;37;Nada;2016-09-09;5;10;4;1;7;21;300;65;3;88
1;5;37;Nada;2016-09-11;1;10;5;1;7.5;18;270;69;3;71.5
1;5;37;Nada;2016-09-11;2;10;5;1;8;22;265;70;4;70.5
1;5;37;Nada;2016-09-11;3;10;4;1;8;14;290;75;3;75
1;5;37;Nada;2016-09-11;4;10;3;2;7;17;240;75;2;68.5
1;5;37;Nada;2016-09-11;5;10;4;2;8;13;280;74;2;83
1;7;135;Basamid;2016-09-03;1;6;5;1;5;32;240;75;3;75.5
1;7;135;Basamid;2016-09-03;2;8;6;1;4.3;33;260;70;3;77.5
1;7;135;Basamid;2016-09-03;3;7;5;2;4.5;28;250;72;2;72.5
1;7;135;Basamid;2016-09-03;4;7;6;1;5;30;250;75;3;76.5
1;7;135;Basamid;2016-09-03;5;7;5;1;5.3;31;260;70;3;77.5
1;7;135;Basamid;2016-09-05;1;6;4;1;7;31;270;70;3;86
1;7;135;Basamid;2016-09-05;2;6;4.5;2;8;21;270;75;2;79.5
1;7;135;Basamid;2016-09-05;3;7;5;1;7;29;280;75;2;72
1;7;135;Basamid;2016-09-05;4;6;4;1;8;32;260;75;3;84
1;7;135;Basamid;2016-09-05;5;7;4.5;1;6;27;270;80;3;83.5
1;7;135;Basamid;2016-09-06;1;6;5;2;6.1;23;250;70;3;87
1;7;135;Basamid;2016-09-06;2;8;7;1;6.5;20;250;72;3;79.5
1;7;135;Basamid;2016-09-06;3;7;6;1;5.8;28;260;75;2;85
1;7;135;Basamid;2016-09-06;4;7;4;1;6.6;22;240;70;3;72.5
1;7;135;Basamid;2016-09-06;5;7;5;1;5.5;19;260;72;3;88.5
1;7;135;Basamid;2016-09-08;1;10;5;1;6.2;22;300;70;2;88
1;7;135;Basamid;2016-09-08;2;10;6;2;5.9;18;310;70;2;76.5
1;7;135;Basamid;2016-09-08;3;10;7;1;6.8;23;300;75;3;78.5
1;7;135;Basamid;2016-09-08;4;10;4;1;5.3;26;320;80;2;72.5
1;7;135;Basamid;2016-09-08;5;10;4;2;4.9;19;340;75;3;76.5
1;7;135;Basamid;2016-09-10;1;10;3;1;4.8;23;230;75;3;83.5
1;7;135;Basamid;2016-09-10;2;10;4;2;5.9;30;240;70;3;81
1;7;135;Basamid;2016-09-10;3;10;5;1;6.5;29;260;80;3;86
1;7;135;Basamid;2016-09-10;4;10;3;2;5.7;22;250;65;2;84.5
1;7;135;Basamid;2016-09-10;5;10;3;2;7.5;25;230;70;3;84.5
1;7;136;Hongos;2016-09-03;1;6;6;1;5.5;31;240;70;3;80.75
1;7;136;Hongos;2016-09-03;2;7;4;1;4.5;31;250;75;2;89
1;7;136;Hongos;2016-09-03;3;6;6;1;5.3;28;260;70;2;63.5
1;7;136;Hongos;2016-09-03;4;7;6;1;5.6;26;270;72;2;71.5
1;7;136;Hongos;2016-09-03;5;7;6;1;6;28;240;75;3;75.5
1;7;136;Hongos;2016-09-05;1;7;5;1;8;23;280;75;4;85.5
1;7;136;Hongos;2016-09-05;2;7;5;1;8;23;260;80;3;85.5
1;7;136;Hongos;2016-09-05;3;5;6;2;8;22;270;75;3;80
1;7;136;Hongos;2016-09-05;4;5;5;2;7;20;260;70;3;85.5
1;7;136;Hongos;2016-09-05;5;6;4;1;8;19;250;80;3;82.5
1;7;136;Hongos;2016-09-06;1;7;5;1;5.8;23;260;70;3;78.5
1;7;136;Hongos;2016-09-06;2;7;6;1;6;28;240;65;2;88.5
1;7;136;Hongos;2016-09-06;3;7;4;1;5.3;17;270;75;2;84
1;7;136;Hongos;2016-09-06;4;7;6;2;6.4;22.5;260;70;2;79.5
1;7;136;Hongos;2016-09-06;5;8;5;1;6.2;25;270;70;3;85
1;7;136;Hongos;2016-09-07;1;10;3;1;7.5;21;310;75;3;72.5
1;7;136;Hongos;2016-09-07;2;10;5;2;8;24;440;76;3;79
1;7;136;Hongos;2016-09-07;3;10;4;2;7.5;24;350;70;3;83.5
1;7;136;Hongos;2016-09-07;4;10;4;2;8;22;290;70;3;85.5
1;7;136;Hongos;2016-09-07;5;10;4;1;7;25;390;75;3;82.5
1;7;136;Hongos;2016-09-08;1;10;4;1;5.3;13;300;80;3;83.5
1;7;136;Hongos;2016-09-08;2;10;6;2;5.6;19;350;75;2;84.5
1;7;136;Hongos;2016-09-08;3;10;6;1;6.2;27;330;80;3;81.5
1;7;136;Hongos;2016-09-08;4;10;6;2;6.9;21;340;70;3;86.5
1;7;136;Hongos;2016-09-08;5;10;5;1;5.3;31;450;70;2;87.5
1;7;136;Hongos;2016-09-10;1;9;3;1;6.2;23;260;70;3;86
1;7;136;Hongos;2016-09-10;2;8;4;2;6.2;27;240;75;3;67.5
1;7;136;Hongos;2016-09-10;3;10;5;1;7.8;22;250;75;3;75.5
1;7;136;Hongos;2016-09-10;4;8;3;1;5.5;26;250;70;3;70
1;7;136;Hongos;2016-09-10;5;10;4;1;5.3;28;260;65;3;69
1;7;137;Solarizada;2016-09-03;1;7;5;1;7;22.25;260;70;3;76.5
1;7;137;Solarizada;2016-09-03;2;7;5;1;5;32;265;77;2;77
1;7;137;Solarizada;2016-09-03;3;6;5;1;7;27.5;225;74;2;87.5
